bom_id,sku_id,product_id,component_name,component_weight,recyclable,recycled_content_percentage,supplier_name,cost_per_component,hazardous_material_flag
BOM0065,SKU0065,65,Screen,944,Yes,15,XYZ Pvt Ltd,4391,Yes
BOM0066,SKU0066,66,Keyboard,477,Yes,30,ABC Ltd,3275,No
BOM0067,SKU0067,67,Screen,559,No,69,XYZ Pvt Ltd,3646,No
BOM0068,SKU0068,68,Screen,140,No,77,XYZ Pvt Ltd,4574,No
BOM0069,SKU0069,69,Keyboard,710,No,20,ABC Ltd,1658,No
BOM0070,SKU0070,70,Motherboard,232,Yes,81,XYZ Pvt Ltd,2949,Yes
BOM0071,SKU0071,71,Battery,556,Yes,4,Tech Components,3342,Yes
BOM0072,SKU0072,72,Screen,846,No,16,Tech Components,4832,Yes
BOM0073,SKU0073,73,Motherboard,785,Yes,62,XYZ Pvt Ltd,2360,No
BOM0074,SKU0074,74,Motherboard,848,Yes,76,Tech Components,4964,Yes
BOM0075,SKU0075,75,Battery,697,No,28,ABC Ltd,3646,Yes
BOM0076,SKU0076,76,Keyboard,630,Yes,68,Tech Components,4329,Yes
BOM0077,SKU0077,77,Screen,801,Yes,78,Tech Components,1839,Yes
BOM0078,SKU0078,78,Keyboard,869,No,57,XYZ Pvt Ltd,587,Yes
BOM0079,SKU0079,79,Motherboard,892,No,2,Tech Components,1090,Yes
BOM0080,SKU0080,80,Motherboard,137,No,63,XYZ Pvt Ltd,2484,Yes
BOM0081,SKU0081,81,Motherboard,752,Yes,23,ABC Ltd,4872,Yes
BOM0082,SKU0082,82,Motherboard,596,No,16,Tech Components,2979,No
BOM0083,SKU0083,83,Screen,123,Yes,70,ABC Ltd,2784,Yes
BOM0084,SKU0084,84,Keyboard,573,Yes,38,ABC Ltd,1769,Yes
BOM0085,SKU0085,85,Battery,287,No,25,ABC Ltd,3126,Yes
BOM0086,SKU0086,86,Battery,428,No,57,Tech Components,2227,No
BOM0087,SKU0087,87,Battery,359,Yes,83,XYZ Pvt Ltd,596,Yes
BOM0088,SKU0088,88,Motherboard,363,Yes,74,ABC Ltd,2409,No
BOM0089,SKU0089,89,Screen,495,Yes,29,XYZ Pvt Ltd,4889,Yes
BOM0090,SKU0090,90,Motherboard,150,No,72,XYZ Pvt Ltd,920,No
BOM0091,SKU0091,91,Motherboard,699,No,44,XYZ Pvt Ltd,2713,Yes
BOM0092,SKU0092,92,Keyboard,459,Yes,11,Tech Components,3388,No
BOM0093,SKU0093,93,Keyboard,902,No,56,Tech Components,970,No
BOM0094,SKU0094,94,Screen,711,No,45,Tech Components,1136,Yes
BOM0095,SKU0095,95,Keyboard,1000,Yes,93,Tech Components,2768,Yes
BOM0096,SKU0096,96,Keyboard,268,Yes,19,ABC Ltd,4016,No
BOM0097,SKU0097,97,Keyboard,978,Yes,16,ABC Ltd,1564,No
BOM0098,SKU0098,98,Keyboard,920,No,43,ABC Ltd,4828,No
BOM0099,SKU0099,99,Battery,791,Yes,15,ABC Ltd,642,Yes
BOM0100,SKU0100,100,Motherboard,251,No,72,XYZ Pvt Ltd,4535,Yes
BOM0101,SKU0101,101,Keyboard,515,Yes,57,ABC Ltd,2158,No
BOM0102,SKU0102,102,Keyboard,204,Yes,87,XYZ Pvt Ltd,1817,Yes
BOM0103,SKU0103,103,Motherboard,414,Yes,46,ABC Ltd,622,Yes
BOM0104,SKU0104,104,Battery,928,No,4,Tech Components,1177,Yes
BOM0105,SKU0105,105,Battery,606,Yes,49,XYZ Pvt Ltd,3858,No
BOM0106,SKU0106,106,Screen,421,Yes,99,Tech Components,2084,Yes
BOM0107,SKU0107,107,Motherboard,369,No,96,XYZ Pvt Ltd,4878,No
BOM0108,SKU0108,108,Screen,984,Yes,70,Tech Components,673,Yes
BOM0109,SKU0109,109,Screen,695,Yes,42,ABC Ltd,4073,Yes
BOM0110,SKU0110,110,Keyboard,281,Yes,21,XYZ Pvt Ltd,3620,No
BOM0111,SKU0111,111,Screen,756,No,92,ABC Ltd,3662,No
BOM0112,SKU0112,112,Motherboard,482,No,92,XYZ Pvt Ltd,682,Yes
BOM0113,SKU0113,113,Battery,822,Yes,32,Tech Components,4134,No
BOM0114,SKU0114,114,Screen,984,Yes,91,XYZ Pvt Ltd,4352,Yes
BOM0115,SKU0115,115,Battery,326,Yes,21,XYZ Pvt Ltd,1583,No
BOM0116,SKU0116,116,Keyboard,359,Yes,24,XYZ Pvt Ltd,4948,Yes
BOM0117,SKU0117,117,Motherboard,459,Yes,72,ABC Ltd,2597,Yes
BOM0118,SKU0118,118,Motherboard,158,No,64,ABC Ltd,511,Yes
BOM0119,SKU0119,119,Screen,748,No,8,XYZ Pvt Ltd,1198,Yes
BOM0120,SKU0120,120,Screen,305,Yes,65,XYZ Pvt Ltd,2641,No
BOM0121,SKU0121,121,Screen,259,Yes,61,XYZ Pvt Ltd,4829,No
BOM0122,SKU0122,122,Screen,249,No,79,XYZ Pvt Ltd,1000,Yes
BOM0123,SKU0123,123,Keyboard,204,Yes,10,Tech Components,848,No
BOM0124,SKU0124,124,Keyboard,433,Yes,55,XYZ Pvt Ltd,829,No
BOM0125,SKU0125,125,Battery,915,No,77,XYZ Pvt Ltd,1058,Yes
BOM0126,SKU0126,126,Keyboard,519,Yes,66,Tech Components,560,No
BOM0127,SKU0127,127,Motherboard,105,Yes,16,XYZ Pvt Ltd,4881,No
BOM0128,SKU0128,128,Motherboard,126,Yes,63,XYZ Pvt Ltd,4506,No
BOM0129,SKU0129,129,Keyboard,962,No,77,XYZ Pvt Ltd,4208,No
BOM0130,SKU0130,130,Motherboard,214,No,28,ABC Ltd,2432,Yes
BOM0131,SKU0131,131,Battery,744,Yes,72,ABC Ltd,1868,No
BOM0132,SKU0132,132,Battery,483,Yes,27,ABC Ltd,3398,No
BOM0133,SKU0133,133,Keyboard,123,No,65,XYZ Pvt Ltd,785,No
BOM0134,SKU0134,134,Motherboard,806,Yes,14,XYZ Pvt Ltd,4813,No
BOM0135,SKU0135,135,Motherboard,211,No,8,ABC Ltd,616,No
BOM0136,SKU0136,136,Motherboard,462,Yes,35,Tech Components,1290,Yes
BOM0137,SKU0137,137,Screen,470,No,33,ABC Ltd,2293,No
BOM0138,SKU0138,138,Screen,296,Yes,86,XYZ Pvt Ltd,2659,No
BOM0139,SKU0139,139,Screen,709,No,65,Tech Components,4092,Yes
BOM0140,SKU0140,140,Screen,908,No,7,ABC Ltd,3959,Yes
BOM0141,SKU0141,141,Motherboard,774,Yes,24,XYZ Pvt Ltd,1965,Yes
BOM0142,SKU0142,142,Keyboard,928,No,26,XYZ Pvt Ltd,2524,Yes
BOM0143,SKU0143,143,Motherboard,352,No,1,ABC Ltd,2175,Yes
BOM0144,SKU0144,144,Keyboard,120,Yes,47,XYZ Pvt Ltd,3748,Yes
BOM0145,SKU0145,145,Motherboard,341,Yes,66,ABC Ltd,4746,Yes
BOM0146,SKU0146,146,Battery,815,No,11,Tech Components,4026,Yes
BOM0147,SKU0147,147,Battery,724,No,57,XYZ Pvt Ltd,553,No
BOM0148,SKU0148,148,Motherboard,452,Yes,19,Tech Components,2804,No
BOM0149,SKU0149,149,Screen,944,Yes,16,XYZ Pvt Ltd,3351,No
BOM0150,SKU0150,150,Motherboard,175,No,35,XYZ Pvt Ltd,3750,Yes
BOM0151,SKU0151,151,Keyboard,713,Yes,58,Tech Components,1158,Yes
BOM0152,SKU0152,152,Battery,852,No,92,ABC Ltd,588,No
BOM0153,SKU0153,153,Motherboard,575,Yes,76,XYZ Pvt Ltd,2173,No
BOM0154,SKU0154,154,Screen,216,No,1,ABC Ltd,1290,Yes
BOM0155,SKU0155,155,Keyboard,728,No,68,Tech Components,4267,Yes
BOM0156,SKU0156,156,Motherboard,707,Yes,9,XYZ Pvt Ltd,3011,No
BOM0157,SKU0157,157,Screen,874,No,44,Tech Components,1965,Yes
BOM0158,SKU0158,158,Battery,637,Yes,94,ABC Ltd,3704,No
BOM0159,SKU0159,159,Battery,288,Yes,10,ABC Ltd,1300,No
BOM0160,SKU0160,160,Battery,929,No,95,Tech Components,2225,No
BOM0161,SKU0161,161,Battery,171,No,19,XYZ Pvt Ltd,1883,Yes
BOM0162,SKU0162,162,Motherboard,328,No,54,Tech Components,2924,Yes
BOM0163,SKU0163,163,Battery,697,No,71,XYZ Pvt Ltd,2935,Yes
BOM0164,SKU0164,164,Screen,760,Yes,56,Tech Components,4256,Yes
BOM0165,SKU0165,165,Motherboard,297,No,31,XYZ Pvt Ltd,1143,Yes
BOM0166,SKU0166,166,Motherboard,486,No,91,XYZ Pvt Ltd,4280,No
BOM0167,SKU0167,167,Motherboard,946,Yes,86,XYZ Pvt Ltd,2144,No
BOM0168,SKU0168,168,Screen,131,No,28,Tech Components,4004,Yes
BOM0169,SKU0169,169,Battery,503,Yes,57,XYZ Pvt Ltd,2703,Yes
BOM0170,SKU0170,170,Screen,591,Yes,3,XYZ Pvt Ltd,2862,Yes
BOM0171,SKU0171,171,Battery,121,Yes,36,Tech Components,2113,No
BOM0172,SKU0172,172,Keyboard,960,Yes,27,XYZ Pvt Ltd,3128,No
BOM0173,SKU0173,173,Motherboard,244,No,6,XYZ Pvt Ltd,4526,No
BOM0174,SKU0174,174,Battery,234,No,61,Tech Components,1265,No
BOM0175,SKU0175,175,Keyboard,630,Yes,16,XYZ Pvt Ltd,4644,No
BOM0176,SKU0176,176,Keyboard,450,No,99,XYZ Pvt Ltd,2815,No
BOM0177,SKU0177,177,Keyboard,239,Yes,88,ABC Ltd,4062,Yes
BOM0178,SKU0178,178,Keyboard,586,No,65,ABC Ltd,1513,Yes
BOM0179,SKU0179,179,Battery,429,Yes,68,Tech Components,1946,No
BOM0180,SKU0180,180,Keyboard,492,No,36,Tech Components,3494,Yes
BOM0181,SKU0181,181,Battery,481,Yes,21,Tech Components,1526,No
BOM0182,SKU0182,182,Motherboard,279,Yes,93,XYZ Pvt Ltd,2131,Yes
BOM0183,SKU0183,183,Keyboard,709,Yes,67,ABC Ltd,3041,Yes
BOM0184,SKU0184,184,Screen,433,Yes,45,ABC Ltd,1542,Yes
BOM0185,SKU0185,185,Motherboard,345,Yes,62,Tech Components,1229,Yes
BOM0186,SKU0186,186,Motherboard,130,Yes,99,XYZ Pvt Ltd,2911,Yes
BOM0187,SKU0187,187,Motherboard,124,No,74,XYZ Pvt Ltd,3565,No
BOM0188,SKU0188,188,Screen,487,No,21,Tech Components,4657,No
BOM0189,SKU0189,189,Battery,402,Yes,48,XYZ Pvt Ltd,1363,No
BOM0190,SKU0190,190,Battery,674,Yes,33,Tech Components,2216,No
BOM0191,SKU0191,191,Battery,467,Yes,11,Tech Components,1203,No
BOM0192,SKU0192,192,Screen,161,No,18,Tech Components,764,Yes
BOM0193,SKU0193,193,Screen,313,Yes,18,ABC Ltd,4427,No
BOM0194,SKU0194,194,Motherboard,553,No,59,Tech Components,1066,Yes
BOM0195,SKU0195,195,Motherboard,622,Yes,57,ABC Ltd,1088,No
BOM0196,SKU0196,196,Screen,705,No,9,ABC Ltd,919,No
BOM0197,SKU0197,197,Motherboard,279,No,36,ABC Ltd,3453,Yes
BOM0198,SKU0198,198,Motherboard,873,Yes,99,ABC Ltd,1495,Yes
BOM0199,SKU0199,199,Battery,973,No,88,ABC Ltd,3286,Yes
BOM0200,SKU0200,200,Motherboard,915,No,1,ABC Ltd,1633,Yes
BOM0201,SKU0201,201,Motherboard,790,Yes,55,Tech Components,2323,No
BOM0202,SKU0202,202,Motherboard,709,No,100,XYZ Pvt Ltd,4637,Yes
BOM0203,SKU0203,203,Motherboard,776,Yes,90,ABC Ltd,2149,Yes
BOM0204,SKU0204,204,Screen,497,No,74,Tech Components,3793,Yes
BOM0205,SKU0205,205,Screen,969,No,77,ABC Ltd,1885,No
BOM0206,SKU0206,206,Motherboard,177,No,39,XYZ Pvt Ltd,2188,No
BOM0207,SKU0207,207,Motherboard,141,Yes,40,XYZ Pvt Ltd,2664,Yes
BOM0208,SKU0208,208,Battery,162,Yes,39,ABC Ltd,4491,No
BOM0209,SKU0209,209,Keyboard,557,Yes,32,ABC Ltd,1645,Yes
BOM0210,SKU0210,210,Screen,893,No,95,ABC Ltd,755,Yes
BOM0211,SKU0211,211,Keyboard,500,No,14,ABC Ltd,4962,No
BOM0212,SKU0212,212,Motherboard,361,Yes,54,XYZ Pvt Ltd,4920,Yes
BOM0213,SKU0213,213,Screen,518,No,75,ABC Ltd,4109,Yes
BOM0214,SKU0214,214,Keyboard,310,Yes,34,Tech Components,3093,No
BOM0215,SKU0215,215,Screen,409,No,93,Tech Components,4166,No
BOM0216,SKU0216,216,Keyboard,592,Yes,7,ABC Ltd,1861,No
BOM0217,SKU0217,217,Keyboard,685,No,87,ABC Ltd,857,No
BOM0218,SKU0218,218,Screen,419,Yes,67,ABC Ltd,1799,No
BOM0219,SKU0219,219,Screen,652,Yes,27,Tech Components,716,Yes
BOM0220,SKU0220,220,Motherboard,578,Yes,52,ABC Ltd,2753,No
BOM0221,SKU0221,221,Battery,573,No,63,ABC Ltd,4712,Yes
BOM0222,SKU0222,222,Keyboard,619,Yes,67,Tech Components,1990,Yes
BOM0223,SKU0223,223,Battery,755,Yes,38,ABC Ltd,3374,Yes
BOM0224,SKU0224,224,Motherboard,251,Yes,93,XYZ Pvt Ltd,742,Yes
BOM0225,SKU0225,225,Keyboard,795,No,80,XYZ Pvt Ltd,1762,No
BOM0226,SKU0226,226,Screen,797,Yes,73,Tech Components,3183,No
BOM0227,SKU0227,227,Motherboard,743,No,32,Tech Components,1470,Yes
BOM0228,SKU0228,228,Motherboard,739,No,44,Tech Components,1550,No
BOM0229,SKU0229,229,Screen,458,Yes,52,ABC Ltd,4994,Yes
BOM0230,SKU0230,230,Motherboard,186,No,53,XYZ Pvt Ltd,2898,No
BOM0231,SKU0231,231,Battery,619,No,84,Tech Components,3580,Yes
BOM0232,SKU0232,232,Screen,213,Yes,37,Tech Components,4762,No
BOM0233,SKU0233,233,Screen,485,No,36,ABC Ltd,2626,No
BOM0234,SKU0234,234,Battery,721,Yes,82,XYZ Pvt Ltd,4503,Yes
BOM0235,SKU0235,235,Screen,662,Yes,80,XYZ Pvt Ltd,657,No
BOM0236,SKU0236,236,Keyboard,245,No,16,Tech Components,2087,Yes
BOM0237,SKU0237,237,Battery,133,Yes,70,ABC Ltd,3979,Yes
BOM0238,SKU0238,238,Keyboard,765,Yes,70,Tech Components,3793,No
BOM0239,SKU0239,239,Screen,803,No,88,ABC Ltd,1671,No
BOM0240,SKU0240,240,Screen,273,Yes,8,Tech Components,4637,No
BOM0241,SKU0241,241,Motherboard,625,No,99,ABC Ltd,1150,Yes
BOM0242,SKU0242,242,Screen,203,No,49,ABC Ltd,3632,No
BOM0243,SKU0243,243,Screen,933,No,97,XYZ Pvt Ltd,4952,No
BOM0244,SKU0244,244,Keyboard,943,No,21,ABC Ltd,1006,Yes
BOM0245,SKU0245,245,Battery,427,Yes,63,Tech Components,3730,No
BOM0246,SKU0246,246,Screen,635,No,67,Tech Components,1172,No
BOM0247,SKU0247,247,Screen,235,Yes,36,Tech Components,1608,No
BOM0248,SKU0248,248,Keyboard,667,Yes,91,ABC Ltd,4255,Yes
BOM0249,SKU0249,249,Keyboard,494,Yes,42,XYZ Pvt Ltd,3644,No
BOM0250,SKU0250,250,Battery,570,No,29,XYZ Pvt Ltd,4471,No
BOM0251,SKU0251,251,Screen,712,Yes,31,Tech Components,2484,No
BOM0252,SKU0252,252,Keyboard,464,Yes,59,XYZ Pvt Ltd,2865,No
BOM0253,SKU0253,253,Screen,608,Yes,94,Tech Components,2952,Yes
BOM0254,SKU0254,254,Keyboard,546,No,16,ABC Ltd,2411,No
BOM0255,SKU0255,255,Keyboard,157,Yes,29,XYZ Pvt Ltd,1218,Yes
BOM0256,SKU0256,256,Screen,690,Yes,44,XYZ Pvt Ltd,3906,No
BOM0257,SKU0257,257,Battery,259,No,90,Tech Components,2091,Yes
BOM0258,SKU0258,258,Motherboard,227,No,13,XYZ Pvt Ltd,3696,Yes
BOM0259,SKU0259,259,Battery,785,Yes,24,Tech Components,4721,No
BOM0260,SKU0260,260,Keyboard,220,No,90,ABC Ltd,1783,Yes
BOM0261,SKU0261,261,Screen,302,No,91,ABC Ltd,3983,Yes
BOM0262,SKU0262,262,Screen,875,Yes,72,ABC Ltd,2965,Yes
BOM0263,SKU0263,263,Motherboard,753,No,34,ABC Ltd,3959,Yes
BOM0264,SKU0264,264,Screen,622,Yes,6,Tech Components,3310,Yes
BOM0265,SKU0265,265,Battery,832,No,10,XYZ Pvt Ltd,1789,No
BOM0266,SKU0266,266,Screen,179,No,55,Tech Components,4143,Yes
BOM0267,SKU0267,267,Keyboard,100,No,13,XYZ Pvt Ltd,4004,Yes
BOM0268,SKU0268,268,Battery,511,No,88,XYZ Pvt Ltd,2580,Yes
BOM0269,SKU0269,269,Battery,982,No,46,Tech Components,2338,No
BOM0270,SKU0270,270,Battery,428,Yes,53,XYZ Pvt Ltd,2901,Yes
BOM0271,SKU0271,271,Keyboard,815,No,20,Tech Components,2349,Yes
BOM0272,SKU0272,272,Screen,489,No,75,XYZ Pvt Ltd,2815,No
BOM0273,SKU0273,273,Screen,245,No,92,XYZ Pvt Ltd,1351,No
BOM0274,SKU0274,274,Screen,190,No,89,Tech Components,3490,Yes
BOM0275,SKU0275,275,Motherboard,878,No,0,XYZ Pvt Ltd,3922,Yes
BOM0276,SKU0276,276,Screen,601,No,70,Tech Components,3559,No
BOM0277,SKU0277,277,Keyboard,429,No,94,ABC Ltd,587,Yes
BOM0278,SKU0278,278,Keyboard,855,Yes,94,XYZ Pvt Ltd,2650,No
BOM0279,SKU0279,279,Screen,494,Yes,44,ABC Ltd,2214,Yes
BOM0280,SKU0280,280,Screen,919,No,97,ABC Ltd,2971,Yes
BOM0281,SKU0281,281,Keyboard,619,Yes,82,Tech Components,1156,No
BOM0282,SKU0282,282,Keyboard,976,No,55,Tech Components,1362,Yes
BOM0283,SKU0283,283,Motherboard,195,No,77,XYZ Pvt Ltd,1207,Yes
BOM0284,SKU0284,284,Motherboard,129,Yes,24,XYZ Pvt Ltd,1755,Yes
BOM0285,SKU0285,285,Motherboard,396,No,4,ABC Ltd,3275,No
BOM0286,SKU0286,286,Screen,625,No,29,Tech Components,686,Yes
BOM0287,SKU0287,287,Screen,581,No,81,ABC Ltd,3205,No
BOM0288,SKU0288,288,Battery,212,Yes,87,Tech Components,2956,No
BOM0289,SKU0289,289,Motherboard,719,Yes,62,Tech Components,910,No
BOM0290,SKU0290,290,Keyboard,125,Yes,68,ABC Ltd,1620,Yes
BOM0291,SKU0291,291,Screen,773,No,100,ABC Ltd,2754,No
BOM0292,SKU0292,292,Keyboard,907,Yes,57,ABC Ltd,4740,No
BOM0293,SKU0293,293,Battery,704,Yes,48,ABC Ltd,4626,Yes
BOM0294,SKU0294,294,Screen,553,Yes,31,Tech Components,764,Yes
BOM0295,SKU0295,295,Keyboard,979,No,33,XYZ Pvt Ltd,1870,No
BOM0296,SKU0296,296,Battery,653,Yes,45,Tech Components,3461,Yes
BOM0297,SKU0297,297,Screen,1000,Yes,50,Tech Components,919,No
BOM0298,SKU0298,298,Motherboard,879,No,87,Tech Components,2230,Yes
BOM0299,SKU0299,299,Keyboard,234,Yes,76,Tech Components,3922,No
BOM0300,SKU0300,300,Motherboard,467,No,92,XYZ Pvt Ltd,1881,No
BOM0301,SKU0301,301,Motherboard,516,No,64,ABC Ltd,3557,No
BOM0302,SKU0302,302,Screen,678,No,27,XYZ Pvt Ltd,2464,No
BOM0303,SKU0303,303,Battery,325,No,60,ABC Ltd,957,No
BOM0304,SKU0304,304,Battery,295,No,13,ABC Ltd,740,Yes
BOM0305,SKU0305,305,Motherboard,858,No,43,ABC Ltd,2047,Yes
BOM0306,SKU0306,306,Motherboard,552,No,51,XYZ Pvt Ltd,866,No
BOM0307,SKU0307,307,Motherboard,323,No,95,XYZ Pvt Ltd,1537,Yes
BOM0308,SKU0308,308,Motherboard,686,Yes,14,Tech Components,868,No
BOM0309,SKU0309,309,Motherboard,179,No,79,XYZ Pvt Ltd,2783,No
BOM0310,SKU0310,310,Keyboard,135,No,77,XYZ Pvt Ltd,2132,Yes
BOM0311,SKU0311,311,Screen,918,No,37,ABC Ltd,2335,Yes
BOM0312,SKU0312,312,Keyboard,234,No,4,XYZ Pvt Ltd,1383,No
BOM0313,SKU0313,313,Battery,352,No,24,ABC Ltd,1889,No
BOM0314,SKU0314,314,Battery,919,No,29,XYZ Pvt Ltd,4191,No
BOM0315,SKU0315,315,Screen,623,Yes,64,XYZ Pvt Ltd,2032,Yes
BOM0316,SKU0316,316,Battery,965,No,19,XYZ Pvt Ltd,790,Yes
BOM0317,SKU0317,317,Screen,534,No,38,Tech Components,2105,No
BOM0318,SKU0318,318,Battery,334,No,91,Tech Components,3498,Yes
BOM0319,SKU0319,319,Keyboard,731,Yes,25,XYZ Pvt Ltd,4285,No
BOM0320,SKU0320,320,Motherboard,192,Yes,46,Tech Components,3298,Yes
BOM0321,SKU0321,321,Keyboard,462,Yes,23,XYZ Pvt Ltd,1680,No
BOM0322,SKU0322,322,Motherboard,193,Yes,57,XYZ Pvt Ltd,1953,Yes
BOM0323,SKU0323,323,Motherboard,487,Yes,98,XYZ Pvt Ltd,4266,Yes
BOM0324,SKU0324,324,Screen,783,Yes,36,XYZ Pvt Ltd,507,No
BOM0325,SKU0325,325,Screen,205,No,31,Tech Components,2841,No
BOM0326,SKU0326,326,Motherboard,685,Yes,99,ABC Ltd,677,No
BOM0327,SKU0327,327,Keyboard,909,No,51,Tech Components,4950,Yes
BOM0328,SKU0328,328,Motherboard,508,No,73,XYZ Pvt Ltd,3284,No
BOM0329,SKU0329,329,Motherboard,972,Yes,61,Tech Components,1282,No
BOM0330,SKU0330,330,Battery,866,Yes,1,Tech Components,3431,No
BOM0331,SKU0331,331,Keyboard,727,No,56,ABC Ltd,3760,No
BOM0332,SKU0332,332,Keyboard,919,No,20,ABC Ltd,4136,No
BOM0333,SKU0333,333,Battery,587,No,81,Tech Components,2961,No
BOM0334,SKU0334,334,Motherboard,194,No,11,ABC Ltd,2034,Yes
BOM0335,SKU0335,335,Motherboard,316,No,35,XYZ Pvt Ltd,2510,Yes
BOM0336,SKU0336,336,Screen,202,Yes,24,ABC Ltd,1545,Yes
BOM0337,SKU0337,337,Motherboard,269,Yes,60,Tech Components,4340,Yes
