warranty_id,sku_id,product_id,warranty_period_months,warranty_start_date,warranty_end_date,warranty_type,coverage_details,service_center_available,claim_status,last_service_date
WAR0024,SKU0024,24,24,03-07-2022,22-06-2024,Manufacturer,Parts and Service,No,Active,28-06-2023
WAR0025,SKU0025,25,12,22-11-2023,16-11-2024,Manufacturer,Parts and Service,No,Active,20-05-2024
WAR0026,SKU0026,26,24,08-02-2024,28-01-2026,Seller,Parts and Service,No,Expired,02-02-2025
WAR0027,SKU0027,27,24,02-08-2022,22-07-2024,Manufacturer,Parts and Service,Yes,Active,28-07-2023
WAR0028,SKU0028,28,12,01-09-2024,27-08-2025,Seller,Parts and Service,Yes,Expired,28-02-2025
WAR0029,SKU0029,29,24,27-11-2024,17-11-2026,Manufacturer,Parts and Service,No,Expired,22-11-2025
WAR0030,SKU0030,30,12,18-09-2024,13-09-2025,Seller,Parts and Service,Yes,Expired,17-03-2025
WAR0031,SKU0031,31,6,29-09-2022,28-03-2023,Seller,Parts and Service,Yes,Expired,28-12-2022
WAR0032,SKU0032,32,24,28-08-2022,17-08-2024,Manufacturer,Parts and Service,No,Expired,23-08-2023
WAR0033,SKU0033,33,12,04-08-2022,30-07-2023,Manufacturer,Parts and Service,Yes,Active,31-01-2023
WAR0034,SKU0034,34,12,18-06-2025,13-06-2026,Manufacturer,Parts and Service,Yes,Expired,15-12-2025
WAR0035,SKU0035,35,12,20-04-2025,15-04-2026,Seller,Parts and Service,Yes,Expired,17-10-2025
WAR0036,SKU0036,36,24,15-12-2022,04-12-2024,Seller,Parts and Service,No,Expired,10-12-2023
WAR0037,SKU0037,37,12,04-09-2024,30-08-2025,Manufacturer,Parts and Service,Yes,Expired,03-03-2025
WAR0038,SKU0038,38,12,07-07-2023,01-07-2024,Manufacturer,Parts and Service,No,Active,03-01-2024
WAR0039,SKU0039,39,6,24-10-2022,22-04-2023,Seller,Parts and Service,No,Active,22-01-2023
WAR0040,SKU0040,40,24,31-01-2023,20-01-2025,Manufacturer,Parts and Service,No,Active,26-01-2024
WAR0041,SKU0041,41,12,03-05-2022,28-04-2023,Seller,Parts and Service,No,Expired,30-10-2022
WAR0042,SKU0042,42,24,26-06-2025,16-06-2027,Manufacturer,Parts and Service,No,Expired,21-06-2026
WAR0043,SKU0043,43,24,02-02-2024,22-01-2026,Seller,Parts and Service,Yes,Active,27-01-2025
WAR0044,SKU0044,44,24,07-09-2022,27-08-2024,Seller,Parts and Service,No,Expired,02-09-2023
WAR0045,SKU0045,45,12,24-10-2024,19-10-2025,Seller,Parts and Service,No,Expired,22-04-2025
WAR0046,SKU0046,46,12,24-04-2022,19-04-2023,Manufacturer,Parts and Service,No,Expired,21-10-2022
WAR0047,SKU0047,47,6,13-03-2025,09-09-2025,Seller,Parts and Service,No,Expired,11-06-2025
WAR0048,SKU0048,48,6,17-04-2025,14-10-2025,Seller,Parts and Service,No,Expired,16-07-2025
WAR0049,SKU0049,49,12,06-03-2024,01-03-2025,Manufacturer,Parts and Service,Yes,Expired,02-09-2024
WAR0050,SKU0050,50,6,13-09-2023,11-03-2024,Seller,Parts and Service,Yes,Expired,12-12-2023
WAR0051,SKU0051,51,24,28-09-2022,17-09-2024,Manufacturer,Parts and Service,Yes,Active,23-09-2023
WAR0052,SKU0052,52,24,29-01-2023,18-01-2025,Seller,Parts and Service,Yes,Active,24-01-2024
WAR0053,SKU0053,53,24,30-04-2025,20-04-2027,Seller,Parts and Service,No,Active,25-04-2026
WAR0054,SKU0054,54,6,29-10-2022,27-04-2023,Seller,Parts and Service,No,Expired,27-01-2023
WAR0055,SKU0055,55,6,17-06-2024,14-12-2024,Seller,Parts and Service,No,Active,15-09-2024
WAR0056,SKU0056,56,12,23-12-2024,18-12-2025,Seller,Parts and Service,No,Active,21-06-2025
WAR0057,SKU0057,57,12,03-07-2022,28-06-2023,Manufacturer,Parts and Service,No,Expired,30-12-2022
WAR0058,SKU0058,58,24,07-12-2024,27-11-2026,Seller,Parts and Service,No,Active,02-12-2025
WAR0059,SKU0059,59,12,18-06-2025,13-06-2026,Seller,Parts and Service,No,Expired,15-12-2025
WAR0060,SKU0060,60,6,09-05-2024,05-11-2024,Manufacturer,Parts and Service,No,Active,07-08-2024
WAR0061,SKU0061,61,6,30-10-2024,28-04-2025,Seller,Parts and Service,No,Expired,28-01-2025
WAR0062,SKU0062,62,6,04-10-2022,02-04-2023,Manufacturer,Parts and Service,Yes,Active,02-01-2023
WAR0063,SKU0063,63,12,13-12-2023,07-12-2024,Seller,Parts and Service,Yes,Expired,10-06-2024
WAR0064,SKU0064,64,12,16-04-2024,11-04-2025,Seller,Parts and Service,Yes,Expired,13-10-2024
WAR0065,SKU0065,65,12,16-08-2023,10-08-2024,Manufacturer,Parts and Service,Yes,Active,12-02-2024
WAR0066,SKU0066,66,6,21-05-2024,17-11-2024,Seller,Parts and Service,No,Expired,19-08-2024
WAR0067,SKU0067,67,12,12-11-2023,06-11-2024,Manufacturer,Parts and Service,No,Active,10-05-2024
WAR0068,SKU0068,68,6,01-03-2023,28-08-2023,Seller,Parts and Service,No,Active,30-05-2023
WAR0069,SKU0069,69,24,27-08-2024,17-08-2026,Manufacturer,Parts and Service,Yes,Active,22-08-2025
WAR0070,SKU0070,70,24,20-01-2023,09-01-2025,Seller,Parts and Service,Yes,Active,15-01-2024
WAR0071,SKU0071,71,12,21-08-2024,16-08-2025,Manufacturer,Parts and Service,No,Active,17-02-2025
WAR0072,SKU0072,72,6,13-08-2024,09-02-2025,Seller,Parts and Service,Yes,Expired,11-11-2024
WAR0073,SKU0073,73,24,03-11-2022,23-10-2024,Seller,Parts and Service,Yes,Expired,29-10-2023
WAR0074,SKU0074,74,6,04-01-2023,03-07-2023,Manufacturer,Parts and Service,No,Expired,04-04-2023
WAR0075,SKU0075,75,24,17-09-2022,06-09-2024,Seller,Parts and Service,No,Expired,12-09-2023
WAR0076,SKU0076,76,24,11-12-2024,01-12-2026,Seller,Parts and Service,No,Expired,06-12-2025
WAR0077,SKU0077,77,12,05-10-2022,30-09-2023,Manufacturer,Parts and Service,Yes,Active,03-04-2023
WAR0078,SKU0078,78,24,27-01-2023,16-01-2025,Seller,Parts and Service,Yes,Active,22-01-2024
WAR0079,SKU0079,79,6,15-02-2023,14-08-2023,Seller,Parts and Service,No,Active,16-05-2023
WAR0080,SKU0080,80,12,14-02-2023,09-02-2024,Seller,Parts and Service,No,Expired,13-08-2023
WAR0081,SKU0081,81,24,13-01-2024,02-01-2026,Manufacturer,Parts and Service,No,Active,07-01-2025
WAR0082,SKU0082,82,6,01-03-2025,28-08-2025,Seller,Parts and Service,No,Active,30-05-2025
WAR0083,SKU0083,83,12,12-09-2023,06-09-2024,Manufacturer,Parts and Service,Yes,Expired,10-03-2024
WAR0084,SKU0084,84,24,29-04-2025,19-04-2027,Manufacturer,Parts and Service,Yes,Expired,24-04-2026
WAR0085,SKU0085,85,6,14-08-2025,10-02-2026,Seller,Parts and Service,No,Active,12-11-2025
WAR0086,SKU0086,86,24,08-07-2025,28-06-2027,Seller,Parts and Service,Yes,Active,03-07-2026
WAR0087,SKU0087,87,24,29-02-2024,18-02-2026,Manufacturer,Parts and Service,No,Expired,23-02-2025
WAR0088,SKU0088,88,24,18-02-2023,07-02-2025,Manufacturer,Parts and Service,No,Expired,13-02-2024
WAR0089,SKU0089,89,6,21-01-2023,20-07-2023,Manufacturer,Parts and Service,Yes,Expired,21-04-2023
WAR0090,SKU0090,90,24,22-03-2024,12-03-2026,Seller,Parts and Service,Yes,Active,17-03-2025
WAR0091,SKU0091,91,12,07-05-2025,02-05-2026,Manufacturer,Parts and Service,Yes,Active,03-11-2025
WAR0092,SKU0092,92,12,05-02-2023,31-01-2024,Seller,Parts and Service,Yes,Expired,04-08-2023
WAR0093,SKU0093,93,12,04-11-2022,30-10-2023,Seller,Parts and Service,Yes,Active,03-05-2023
WAR0094,SKU0094,94,24,21-11-2024,11-11-2026,Manufacturer,Parts and Service,Yes,Expired,16-11-2025
WAR0095,SKU0095,95,6,27-05-2025,23-11-2025,Manufacturer,Parts and Service,Yes,Expired,25-08-2025
WAR0096,SKU0096,96,12,04-01-2023,30-12-2023,Seller,Parts and Service,Yes,Active,03-07-2023
WAR0097,SKU0097,97,24,08-12-2023,27-11-2025,Seller,Parts and Service,No,Active,02-12-2024
WAR0098,SKU0098,98,12,20-07-2025,15-07-2026,Manufacturer,Parts and Service,Yes,Active,16-01-2026
WAR0099,SKU0099,99,24,28-01-2024,17-01-2026,Manufacturer,Parts and Service,Yes,Active,22-01-2025
WAR0100,SKU0100,100,12,15-10-2022,10-10-2023,Seller,Parts and Service,Yes,Expired,13-04-2023
WAR0101,SKU0101,101,24,02-12-2024,22-11-2026,Seller,Parts and Service,No,Active,27-11-2025
WAR0102,SKU0102,102,6,28-11-2022,27-05-2023,Manufacturer,Parts and Service,No,Active,26-02-2023
WAR0103,SKU0103,103,24,12-02-2025,02-02-2027,Seller,Parts and Service,No,Active,07-02-2026
WAR0104,SKU0104,104,6,22-11-2024,21-05-2025,Manufacturer,Parts and Service,No,Active,20-02-2025
WAR0105,SKU0105,105,24,06-10-2023,25-09-2025,Seller,Parts and Service,Yes,Active,30-09-2024
WAR0106,SKU0106,106,24,17-11-2023,06-11-2025,Manufacturer,Parts and Service,Yes,Active,11-11-2024
WAR0107,SKU0107,107,24,27-05-2023,16-05-2025,Seller,Parts and Service,Yes,Expired,21-05-2024
WAR0108,SKU0108,108,6,28-05-2024,24-11-2024,Seller,Parts and Service,No,Expired,26-08-2024
WAR0109,SKU0109,109,6,28-04-2025,25-10-2025,Manufacturer,Parts and Service,No,Expired,27-07-2025
WAR0110,SKU0110,110,24,02-07-2022,21-06-2024,Manufacturer,Parts and Service,Yes,Active,27-06-2023
WAR0111,SKU0111,111,24,17-09-2024,07-09-2026,Manufacturer,Parts and Service,Yes,Expired,12-09-2025
WAR0112,SKU0112,112,24,07-05-2025,27-04-2027,Seller,Parts and Service,Yes,Active,02-05-2026
WAR0113,SKU0113,113,6,30-06-2023,27-12-2023,Seller,Parts and Service,Yes,Expired,28-09-2023
WAR0114,SKU0114,114,24,07-03-2023,24-02-2025,Seller,Parts and Service,Yes,Expired,01-03-2024
WAR0115,SKU0115,115,12,24-10-2022,19-10-2023,Manufacturer,Parts and Service,No,Expired,22-04-2023
WAR0116,SKU0116,116,24,11-08-2025,01-08-2027,Manufacturer,Parts and Service,Yes,Active,06-08-2026
WAR0117,SKU0117,117,12,06-07-2022,01-07-2023,Manufacturer,Parts and Service,No,Expired,02-01-2023
WAR0118,SKU0118,118,6,18-12-2022,16-06-2023,Seller,Parts and Service,No,Expired,18-03-2023
WAR0119,SKU0119,119,12,30-08-2022,25-08-2023,Manufacturer,Parts and Service,No,Expired,26-02-2023
WAR0120,SKU0120,120,6,03-03-2025,30-08-2025,Manufacturer,Parts and Service,Yes,Active,01-06-2025
WAR0121,SKU0121,121,6,05-09-2022,04-03-2023,Seller,Parts and Service,No,Expired,04-12-2022
WAR0122,SKU0122,122,24,31-03-2022,20-03-2024,Seller,Parts and Service,No,Expired,26-03-2023
WAR0123,SKU0123,123,24,28-06-2022,17-06-2024,Manufacturer,Parts and Service,Yes,Active,23-06-2023
WAR0124,SKU0124,124,12,10-01-2023,05-01-2024,Seller,Parts and Service,Yes,Expired,09-07-2023
WAR0125,SKU0125,125,12,06-04-2023,31-03-2024,Seller,Parts and Service,Yes,Active,03-10-2023
WAR0126,SKU0126,126,6,29-06-2023,26-12-2023,Seller,Parts and Service,Yes,Expired,27-09-2023
WAR0127,SKU0127,127,6,05-07-2022,01-01-2023,Manufacturer,Parts and Service,No,Active,03-10-2022
WAR0128,SKU0128,128,24,17-06-2025,07-06-2027,Seller,Parts and Service,No,Active,12-06-2026
WAR0129,SKU0129,129,24,10-05-2024,30-04-2026,Seller,Parts and Service,Yes,Expired,05-05-2025
WAR0130,SKU0130,130,12,15-08-2022,10-08-2023,Manufacturer,Parts and Service,No,Expired,11-02-2023
WAR0131,SKU0131,131,12,12-07-2022,07-07-2023,Manufacturer,Parts and Service,Yes,Active,08-01-2023
WAR0132,SKU0132,132,6,04-10-2024,02-04-2025,Seller,Parts and Service,No,Active,02-01-2025
WAR0133,SKU0133,133,12,17-06-2024,12-06-2025,Seller,Parts and Service,No,Expired,14-12-2024
WAR0134,SKU0134,134,6,11-05-2024,07-11-2024,Seller,Parts and Service,No,Active,09-08-2024
WAR0135,SKU0135,135,24,14-09-2024,04-09-2026,Manufacturer,Parts and Service,No,Active,09-09-2025
WAR0136,SKU0136,136,12,27-10-2022,22-10-2023,Seller,Parts and Service,Yes,Expired,25-04-2023
WAR0137,SKU0137,137,6,06-10-2024,04-04-2025,Manufacturer,Parts and Service,No,Expired,04-01-2025
WAR0138,SKU0138,138,24,20-07-2023,09-07-2025,Seller,Parts and Service,No,Active,14-07-2024
WAR0139,SKU0139,139,6,02-01-2025,01-07-2025,Manufacturer,Parts and Service,Yes,Active,02-04-2025
WAR0140,SKU0140,140,6,31-05-2022,27-11-2022,Seller,Parts and Service,Yes,Active,29-08-2022
WAR0141,SKU0141,141,24,16-06-2025,06-06-2027,Seller,Parts and Service,No,Expired,11-06-2026
WAR0142,SKU0142,142,12,26-03-2024,21-03-2025,Seller,Parts and Service,No,Active,22-09-2024
WAR0143,SKU0143,143,24,02-03-2024,20-02-2026,Manufacturer,Parts and Service,Yes,Expired,25-02-2025
WAR0144,SKU0144,144,6,23-11-2023,21-05-2024,Seller,Parts and Service,Yes,Expired,21-02-2024
WAR0145,SKU0145,145,24,03-08-2023,23-07-2025,Seller,Parts and Service,Yes,Expired,28-07-2024
WAR0146,SKU0146,146,24,27-02-2023,16-02-2025,Seller,Parts and Service,No,Expired,22-02-2024
WAR0147,SKU0147,147,6,23-10-2022,21-04-2023,Seller,Parts and Service,No,Expired,21-01-2023
WAR0148,SKU0148,148,24,26-08-2022,15-08-2024,Seller,Parts and Service,No,Active,21-08-2023
WAR0149,SKU0149,149,6,10-09-2023,08-03-2024,Seller,Parts and Service,No,Active,09-12-2023
WAR0150,SKU0150,150,12,13-06-2023,07-06-2024,Manufacturer,Parts and Service,Yes,Expired,10-12-2023
WAR0151,SKU0151,151,24,19-06-2023,08-06-2025,Manufacturer,Parts and Service,Yes,Active,13-06-2024
WAR0152,SKU0152,152,6,16-11-2024,15-05-2025,Manufacturer,Parts and Service,Yes,Active,14-02-2025
WAR0153,SKU0153,153,12,06-02-2023,01-02-2024,Seller,Parts and Service,No,Expired,05-08-2023
WAR0154,SKU0154,154,6,18-02-2025,17-08-2025,Manufacturer,Parts and Service,Yes,Expired,19-05-2025
WAR0155,SKU0155,155,24,14-03-2024,04-03-2026,Manufacturer,Parts and Service,No,Active,09-03-2025
WAR0156,SKU0156,156,6,23-08-2023,19-02-2024,Seller,Parts and Service,Yes,Expired,21-11-2023
WAR0157,SKU0157,157,24,24-07-2023,13-07-2025,Manufacturer,Parts and Service,No,Expired,18-07-2024
WAR0158,SKU0158,158,24,13-01-2025,03-01-2027,Manufacturer,Parts and Service,Yes,Active,08-01-2026
WAR0159,SKU0159,159,24,10-02-2025,31-01-2027,Manufacturer,Parts and Service,Yes,Active,05-02-2026
WAR0160,SKU0160,160,24,10-03-2024,28-02-2026,Seller,Parts and Service,No,Active,05-03-2025
WAR0161,SKU0161,161,24,31-05-2022,20-05-2024,Seller,Parts and Service,No,Active,26-05-2023
WAR0162,SKU0162,162,12,21-10-2024,16-10-2025,Manufacturer,Parts and Service,No,Expired,19-04-2025
WAR0163,SKU0163,163,6,25-09-2023,23-03-2024,Seller,Parts and Service,Yes,Expired,24-12-2023
WAR0164,SKU0164,164,6,09-07-2025,05-01-2026,Manufacturer,Parts and Service,No,Expired,07-10-2025
WAR0165,SKU0165,165,12,04-06-2022,30-05-2023,Manufacturer,Parts and Service,Yes,Expired,01-12-2022
WAR0166,SKU0166,166,24,29-03-2025,19-03-2027,Seller,Parts and Service,No,Expired,24-03-2026
WAR0167,SKU0167,167,12,21-09-2023,15-09-2024,Manufacturer,Parts and Service,Yes,Active,19-03-2024
WAR0168,SKU0168,168,12,30-04-2023,24-04-2024,Manufacturer,Parts and Service,Yes,Active,27-10-2023
WAR0169,SKU0169,169,6,29-09-2023,27-03-2024,Seller,Parts and Service,No,Expired,28-12-2023
WAR0170,SKU0170,170,6,28-02-2025,27-08-2025,Manufacturer,Parts and Service,No,Expired,29-05-2025
WAR0171,SKU0171,171,6,08-04-2024,05-10-2024,Seller,Parts and Service,No,Expired,07-07-2024
WAR0172,SKU0172,172,24,01-06-2025,22-05-2027,Manufacturer,Parts and Service,No,Expired,27-05-2026
WAR0173,SKU0173,173,24,02-05-2023,21-04-2025,Seller,Parts and Service,No,Expired,26-04-2024
WAR0174,SKU0174,174,6,23-05-2022,19-11-2022,Seller,Parts and Service,Yes,Expired,21-08-2022
WAR0175,SKU0175,175,12,09-08-2024,04-08-2025,Seller,Parts and Service,No,Active,05-02-2025
WAR0176,SKU0176,176,6,19-05-2025,15-11-2025,Manufacturer,Parts and Service,No,Expired,17-08-2025
WAR0177,SKU0177,177,24,22-11-2023,11-11-2025,Seller,Parts and Service,No,Expired,16-11-2024
WAR0178,SKU0178,178,24,27-11-2024,17-11-2026,Seller,Parts and Service,No,Active,22-11-2025
WAR0179,SKU0179,179,24,08-12-2024,28-11-2026,Manufacturer,Parts and Service,No,Active,03-12-2025
WAR0180,SKU0180,180,12,06-07-2023,30-06-2024,Manufacturer,Parts and Service,Yes,Expired,02-01-2024
WAR0181,SKU0181,181,6,30-05-2023,26-11-2023,Seller,Parts and Service,No,Expired,28-08-2023
WAR0182,SKU0182,182,24,02-10-2023,21-09-2025,Seller,Parts and Service,No,Expired,26-09-2024
WAR0183,SKU0183,183,6,25-01-2023,24-07-2023,Seller,Parts and Service,No,Expired,25-04-2023
WAR0184,SKU0184,184,24,28-08-2023,17-08-2025,Seller,Parts and Service,Yes,Active,22-08-2024
WAR0185,SKU0185,185,24,28-02-2024,17-02-2026,Manufacturer,Parts and Service,No,Expired,22-02-2025
WAR0186,SKU0186,186,12,01-08-2024,27-07-2025,Manufacturer,Parts and Service,No,Active,28-01-2025
WAR0187,SKU0187,187,12,22-06-2025,17-06-2026,Seller,Parts and Service,No,Active,19-12-2025
WAR0188,SKU0188,188,12,04-07-2023,28-06-2024,Seller,Parts and Service,Yes,Expired,31-12-2023
WAR0189,SKU0189,189,6,22-08-2023,18-02-2024,Manufacturer,Parts and Service,Yes,Active,20-11-2023
WAR0190,SKU0190,190,24,07-04-2023,27-03-2025,Seller,Parts and Service,Yes,Expired,01-04-2024
WAR0191,SKU0191,191,12,03-07-2024,28-06-2025,Manufacturer,Parts and Service,No,Active,30-12-2024
WAR0192,SKU0192,192,12,15-06-2023,09-06-2024,Manufacturer,Parts and Service,No,Expired,12-12-2023
WAR0193,SKU0193,193,6,21-09-2024,20-03-2025,Manufacturer,Parts and Service,No,Expired,20-12-2024
WAR0194,SKU0194,194,6,30-11-2023,28-05-2024,Manufacturer,Parts and Service,Yes,Active,28-02-2024
WAR0195,SKU0195,195,6,17-07-2023,13-01-2024,Manufacturer,Parts and Service,Yes,Expired,15-10-2023
WAR0196,SKU0196,196,6,09-07-2022,05-01-2023,Seller,Parts and Service,Yes,Expired,07-10-2022
WAR0197,SKU0197,197,12,25-02-2025,20-02-2026,Manufacturer,Parts and Service,No,Active,24-08-2025
WAR0198,SKU0198,198,24,18-09-2022,07-09-2024,Seller,Parts and Service,Yes,Active,13-09-2023
WAR0199,SKU0199,199,24,25-09-2024,15-09-2026,Seller,Parts and Service,No,Expired,20-09-2025
WAR0200,SKU0200,200,12,01-02-2024,26-01-2025,Seller,Parts and Service,No,Expired,30-07-2024
WAR0201,SKU0201,201,6,11-07-2024,07-01-2025,Manufacturer,Parts and Service,No,Active,09-10-2024
WAR0202,SKU0202,202,24,06-11-2024,27-10-2026,Manufacturer,Parts and Service,No,Active,01-11-2025
WAR0203,SKU0203,203,24,14-09-2024,04-09-2026,Manufacturer,Parts and Service,Yes,Expired,09-09-2025
WAR0204,SKU0204,204,12,27-10-2023,21-10-2024,Manufacturer,Parts and Service,Yes,Expired,24-04-2024
WAR0205,SKU0205,205,12,10-12-2024,05-12-2025,Manufacturer,Parts and Service,Yes,Active,08-06-2025
WAR0206,SKU0206,206,12,13-02-2023,08-02-2024,Manufacturer,Parts and Service,Yes,Active,12-08-2023
WAR0207,SKU0207,207,6,26-03-2024,22-09-2024,Manufacturer,Parts and Service,No,Expired,24-06-2024
WAR0208,SKU0208,208,24,21-02-2024,10-02-2026,Manufacturer,Parts and Service,No,Expired,15-02-2025
WAR0209,SKU0209,209,12,20-09-2023,14-09-2024,Seller,Parts and Service,No,Expired,18-03-2024
WAR0210,SKU0210,210,24,28-02-2023,17-02-2025,Manufacturer,Parts and Service,No,Expired,23-02-2024
WAR0211,SKU0211,211,6,17-04-2025,14-10-2025,Manufacturer,Parts and Service,No,Expired,16-07-2025
WAR0212,SKU0212,212,12,15-02-2025,10-02-2026,Seller,Parts and Service,Yes,Expired,14-08-2025
WAR0213,SKU0213,213,24,02-08-2025,23-07-2027,Seller,Parts and Service,No,Expired,28-07-2026
WAR0214,SKU0214,214,24,23-05-2025,13-05-2027,Manufacturer,Parts and Service,No,Expired,18-05-2026
WAR0215,SKU0215,215,24,20-06-2024,10-06-2026,Manufacturer,Parts and Service,No,Expired,15-06-2025
WAR0216,SKU0216,216,24,23-09-2022,12-09-2024,Seller,Parts and Service,Yes,Active,18-09-2023
WAR0217,SKU0217,217,6,25-05-2024,21-11-2024,Seller,Parts and Service,Yes,Active,23-08-2024
WAR0218,SKU0218,218,6,16-01-2025,15-07-2025,Seller,Parts and Service,Yes,Expired,16-04-2025
WAR0219,SKU0219,219,24,07-12-2022,26-11-2024,Seller,Parts and Service,No,Expired,02-12-2023
WAR0220,SKU0220,220,6,24-07-2025,20-01-2026,Manufacturer,Parts and Service,No,Active,22-10-2025
WAR0221,SKU0221,221,6,01-12-2022,30-05-2023,Seller,Parts and Service,Yes,Expired,01-03-2023
WAR0222,SKU0222,222,12,11-12-2022,06-12-2023,Seller,Parts and Service,Yes,Expired,09-06-2023
WAR0223,SKU0223,223,6,02-11-2022,01-05-2023,Manufacturer,Parts and Service,Yes,Expired,31-01-2023
WAR0224,SKU0224,224,6,09-09-2023,07-03-2024,Manufacturer,Parts and Service,Yes,Expired,08-12-2023
WAR0225,SKU0225,225,12,17-04-2025,12-04-2026,Seller,Parts and Service,No,Active,14-10-2025
WAR0226,SKU0226,226,12,14-05-2023,08-05-2024,Manufacturer,Parts and Service,No,Active,10-11-2023
WAR0227,SKU0227,227,12,06-01-2023,01-01-2024,Manufacturer,Parts and Service,Yes,Active,05-07-2023
WAR0228,SKU0228,228,12,10-03-2023,04-03-2024,Manufacturer,Parts and Service,No,Active,06-09-2023
WAR0229,SKU0229,229,12,16-07-2025,11-07-2026,Manufacturer,Parts and Service,No,Expired,12-01-2026
WAR0230,SKU0230,230,6,13-02-2023,12-08-2023,Manufacturer,Parts and Service,Yes,Active,14-05-2023
WAR0231,SKU0231,231,12,09-07-2023,03-07-2024,Seller,Parts and Service,No,Expired,05-01-2024
WAR0232,SKU0232,232,24,04-10-2022,23-09-2024,Manufacturer,Parts and Service,Yes,Active,29-09-2023
WAR0233,SKU0233,233,6,02-03-2025,29-08-2025,Seller,Parts and Service,Yes,Expired,31-05-2025
WAR0234,SKU0234,234,24,09-07-2022,28-06-2024,Manufacturer,Parts and Service,No,Expired,04-07-2023
WAR0235,SKU0235,235,6,23-09-2024,22-03-2025,Manufacturer,Parts and Service,No,Expired,22-12-2024
WAR0236,SKU0236,236,24,09-07-2023,28-06-2025,Manufacturer,Parts and Service,Yes,Expired,03-07-2024
WAR0237,SKU0237,237,12,18-08-2024,13-08-2025,Seller,Parts and Service,Yes,Expired,14-02-2025
WAR0238,SKU0238,238,24,26-07-2025,16-07-2027,Seller,Parts and Service,No,Active,21-07-2026
WAR0239,SKU0239,239,12,21-03-2023,15-03-2024,Manufacturer,Parts and Service,No,Expired,17-09-2023
WAR0240,SKU0240,240,12,10-08-2024,05-08-2025,Manufacturer,Parts and Service,Yes,Active,06-02-2025
WAR0241,SKU0241,241,12,12-09-2024,07-09-2025,Seller,Parts and Service,No,Expired,11-03-2025
WAR0242,SKU0242,242,12,15-08-2024,10-08-2025,Manufacturer,Parts and Service,Yes,Expired,11-02-2025
WAR0243,SKU0243,243,6,26-02-2023,25-08-2023,Manufacturer,Parts and Service,Yes,Expired,27-05-2023
WAR0244,SKU0244,244,24,06-06-2025,27-05-2027,Manufacturer,Parts and Service,Yes,Active,01-06-2026
WAR0245,SKU0245,245,6,15-09-2022,14-03-2023,Manufacturer,Parts and Service,No,Expired,14-12-2022
WAR0246,SKU0246,246,24,06-12-2024,26-11-2026,Seller,Parts and Service,Yes,Expired,01-12-2025
WAR0247,SKU0247,247,12,14-03-2023,08-03-2024,Seller,Parts and Service,Yes,Active,10-09-2023
