product_id,sku_id,recyclability_score,reusability_score,material_sustainability_score,warranty_score,overall_circularity_score,circularity_category,recommendation
99,SKU0099,5,4,10,1,55,Excellent,Repair
100,SKU0100,3,5,7,4,65,Excellent,Refurbish
101,SKU0101,10,1,2,3,94,Poor,Refurbish
102,SKU0102,6,5,4,4,88,Poor,Reuse
103,SKU0103,8,1,3,10,74,Poor,Repair
104,SKU0104,5,7,10,2,67,Good,Refurbish
105,SKU0105,6,3,1,1,86,Good,Repair
106,SKU0106,6,4,10,6,93,Average,Repair
107,SKU0107,2,9,6,9,70,Good,Repair
108,SKU0108,10,3,6,4,85,Excellent,Reuse
109,SKU0109,6,6,1,2,86,Good,Reuse
110,SKU0110,8,1,10,2,68,Good,Repair
111,SKU0111,7,3,6,3,83,Poor,Reuse
112,SKU0112,4,1,9,7,82,Average,Recycle
113,SKU0113,2,2,2,3,58,Poor,Reuse
114,SKU0114,7,5,9,5,79,Excellent,Reuse
115,SKU0115,7,6,4,2,80,Average,Refurbish
116,SKU0116,6,2,7,6,72,Poor,Refurbish
117,SKU0117,2,8,5,1,95,Poor,Recycle
118,SKU0118,3,8,2,9,56,Excellent,Reuse
119,SKU0119,9,1,5,4,96,Good,Reuse
120,SKU0120,5,1,4,6,72,Excellent,Repair
121,SKU0121,6,8,8,10,91,Average,Recycle
122,SKU0122,4,9,7,4,50,Average,Refurbish
123,SKU0123,2,7,10,6,90,Good,Repair
124,SKU0124,3,8,8,10,68,Excellent,Repair
125,SKU0125,7,3,9,10,65,Average,Reuse
126,SKU0126,7,7,1,10,85,Poor,Recycle
127,SKU0127,7,1,2,9,70,Average,Repair
128,SKU0128,4,8,4,7,81,Excellent,Reuse
129,SKU0129,2,6,2,7,73,Poor,Repair
130,SKU0130,7,6,7,10,65,Good,Recycle
131,SKU0131,9,8,6,1,91,Excellent,Refurbish
132,SKU0132,10,8,7,10,97,Poor,Recycle
133,SKU0133,5,10,7,2,69,Excellent,Refurbish
134,SKU0134,5,9,10,7,79,Poor,Reuse
135,SKU0135,3,5,10,1,65,Good,Recycle
136,SKU0136,5,4,1,9,51,Average,Refurbish
137,SKU0137,9,2,3,2,66,Excellent,Reuse
138,SKU0138,7,1,2,1,97,Average,Recycle
139,SKU0139,7,1,1,5,75,Average,Repair
140,SKU0140,6,2,5,5,85,Excellent,Reuse
141,SKU0141,6,8,10,9,81,Average,Repair
142,SKU0142,9,2,6,2,86,Excellent,Refurbish
143,SKU0143,1,3,7,3,50,Average,Refurbish
144,SKU0144,3,3,1,7,72,Good,Recycle
145,SKU0145,10,8,6,5,72,Excellent,Repair
146,SKU0146,3,6,5,6,72,Poor,Refurbish
147,SKU0147,5,6,5,6,60,Average,Recycle
148,SKU0148,8,8,8,4,60,Average,Repair
149,SKU0149,2,5,8,7,83,Average,Recycle
150,SKU0150,9,10,10,8,66,Poor,Recycle
151,SKU0151,3,5,6,3,95,Good,Refurbish
152,SKU0152,9,3,10,6,59,Poor,Refurbish
153,SKU0153,9,1,4,7,100,Poor,Refurbish
154,SKU0154,10,9,1,1,94,Excellent,Repair
155,SKU0155,4,9,6,2,99,Poor,Reuse
156,SKU0156,1,5,1,7,66,Excellent,Recycle
157,SKU0157,8,9,4,5,90,Excellent,Recycle
158,SKU0158,6,10,10,5,84,Excellent,Refurbish
159,SKU0159,7,10,5,9,56,Average,Refurbish
160,SKU0160,5,5,8,10,54,Excellent,Recycle
161,SKU0161,1,1,2,3,78,Poor,Recycle
162,SKU0162,8,9,5,1,67,Poor,Refurbish
163,SKU0163,6,4,8,2,86,Excellent,Recycle
164,SKU0164,8,4,3,9,91,Poor,Refurbish
165,SKU0165,9,3,3,5,76,Poor,Recycle
166,SKU0166,2,2,6,6,58,Excellent,Refurbish
167,SKU0167,9,7,4,2,78,Poor,Reuse
168,SKU0168,9,1,4,10,68,Average,Reuse
169,SKU0169,3,9,8,8,88,Good,Refurbish
170,SKU0170,7,7,1,5,76,Good,Reuse
171,SKU0171,4,6,3,4,51,Poor,Refurbish
172,SKU0172,8,5,2,7,82,Poor,Recycle
173,SKU0173,1,2,10,1,56,Poor,Reuse
174,SKU0174,1,3,9,5,66,Poor,Recycle
175,SKU0175,10,3,6,1,50,Good,Repair
176,SKU0176,9,3,5,4,88,Average,Refurbish
177,SKU0177,4,6,10,3,55,Excellent,Repair
178,SKU0178,3,7,5,1,69,Good,Repair
179,SKU0179,1,4,3,4,100,Excellent,Repair
180,SKU0180,6,1,10,9,82,Excellent,Recycle
181,SKU0181,2,9,2,10,58,Average,Recycle
182,SKU0182,8,10,4,2,69,Good,Repair
183,SKU0183,9,7,8,8,57,Average,Repair
184,SKU0184,6,4,7,10,74,Good,Refurbish
185,SKU0185,8,4,3,5,58,Excellent,Refurbish
186,SKU0186,6,7,4,3,96,Excellent,Refurbish
187,SKU0187,5,10,3,5,54,Good,Reuse
188,SKU0188,7,8,3,8,54,Poor,Refurbish
189,SKU0189,6,2,10,4,51,Good,Repair
190,SKU0190,9,4,5,10,82,Poor,Recycle
191,SKU0191,9,6,8,7,60,Poor,Reuse
192,SKU0192,5,8,5,2,50,Average,Refurbish
193,SKU0193,10,6,1,4,59,Excellent,Reuse
194,SKU0194,1,1,8,6,80,Average,Recycle
195,SKU0195,4,2,9,7,92,Average,Recycle
196,SKU0196,8,1,7,10,61,Poor,Recycle
197,SKU0197,2,6,2,5,83,Good,Recycle
198,SKU0198,10,8,5,7,50,Good,Refurbish
199,SKU0199,9,4,1,2,67,Excellent,Repair
200,SKU0200,8,9,1,9,92,Excellent,Recycle
201,SKU0201,6,4,1,4,83,Average,Reuse
202,SKU0202,7,6,10,3,64,Average,Recycle
203,SKU0203,5,10,2,3,53,Excellent,Refurbish
204,SKU0204,3,4,7,1,65,Poor,Refurbish
205,SKU0205,1,7,4,3,76,Average,Reuse
206,SKU0206,3,1,3,3,66,Average,Reuse
207,SKU0207,5,10,6,3,57,Average,Reuse
208,SKU0208,8,3,2,4,90,Excellent,Reuse
209,SKU0209,9,4,3,1,78,Good,Refurbish
210,SKU0210,1,4,1,8,59,Good,Reuse
211,SKU0211,9,10,9,9,70,Good,Refurbish
212,SKU0212,5,7,9,6,100,Good,Refurbish
213,SKU0213,10,5,2,1,81,Average,Recycle
214,SKU0214,2,6,9,10,59,Poor,Refurbish
215,SKU0215,9,4,7,3,69,Excellent,Recycle
216,SKU0216,10,1,6,6,82,Good,Refurbish
217,SKU0217,3,6,2,10,67,Excellent,Reuse
218,SKU0218,9,10,2,3,86,Excellent,Refurbish
219,SKU0219,1,6,6,2,50,Average,Refurbish
220,SKU0220,6,4,8,2,92,Good,Repair
221,SKU0221,5,6,8,6,85,Good,Repair
222,SKU0222,4,7,4,2,91,Poor,Recycle
223,SKU0223,3,6,10,2,79,Excellent,Recycle
224,SKU0224,2,7,5,2,77,Good,Repair
225,SKU0225,8,8,5,6,50,Average,Refurbish
226,SKU0226,9,8,4,1,65,Average,Reuse
227,SKU0227,9,9,6,6,68,Excellent,Refurbish
228,SKU0228,9,6,6,8,94,Average,Recycle
229,SKU0229,4,10,4,9,54,Excellent,Recycle
230,SKU0230,3,10,7,1,83,Poor,Refurbish
231,SKU0231,4,10,2,10,58,Good,Repair
232,SKU0232,2,6,6,8,84,Good,Recycle
233,SKU0233,10,6,4,8,62,Average,Refurbish
234,SKU0234,7,7,5,1,97,Excellent,Repair
235,SKU0235,3,9,10,8,83,Good,Recycle
236,SKU0236,1,1,10,4,55,Average,Reuse
237,SKU0237,9,3,10,9,93,Average,Recycle
238,SKU0238,2,1,9,3,77,Excellent,Refurbish
239,SKU0239,7,10,5,3,100,Average,Repair
240,SKU0240,4,2,8,1,66,Poor,Refurbish
241,SKU0241,4,8,2,3,78,Good,Repair
242,SKU0242,3,4,9,7,82,Poor,Recycle
243,SKU0243,2,9,8,3,94,Poor,Reuse
244,SKU0244,4,7,1,10,65,Excellent,Repair
245,SKU0245,9,2,9,7,88,Good,Refurbish
246,SKU0246,5,5,9,6,50,Poor,Refurbish
247,SKU0247,10,1,6,1,75,Good,Refurbish
248,SKU0248,4,7,3,1,73,Poor,Refurbish
249,SKU0249,9,1,10,3,94,Good,Repair
250,SKU0250,9,3,7,6,68,Good,Refurbish
251,SKU0251,3,1,9,9,52,Poor,Repair
252,SKU0252,2,5,6,7,79,Average,Refurbish
253,SKU0253,7,5,4,5,66,Poor,Reuse
254,SKU0254,4,4,8,6,91,Average,Recycle
255,SKU0255,2,3,10,10,59,Good,Refurbish
256,SKU0256,3,2,3,4,88,Poor,Repair
257,SKU0257,3,9,6,1,94,Excellent,Recycle
258,SKU0258,10,8,5,2,65,Poor,Recycle
259,SKU0259,8,7,2,7,83,Good,Recycle
260,SKU0260,1,6,10,9,70,Poor,Recycle
261,SKU0261,9,8,9,8,91,Excellent,Reuse
262,SKU0262,9,10,4,9,79,Good,Reuse
263,SKU0263,4,9,4,2,52,Poor,Repair
264,SKU0264,8,9,2,3,69,Poor,Recycle
265,SKU0265,7,3,4,1,85,Good,Reuse
266,SKU0266,6,8,4,7,95,Poor,Recycle
267,SKU0267,1,2,8,2,76,Excellent,Reuse
268,SKU0268,4,5,1,1,99,Good,Refurbish
269,SKU0269,1,7,5,1,84,Average,Refurbish
270,SKU0270,5,2,6,9,74,Excellent,Recycle
271,SKU0271,4,8,8,6,65,Excellent,Reuse
272,SKU0272,3,1,5,8,81,Poor,Reuse
273,SKU0273,8,2,2,5,76,Poor,Repair
274,SKU0274,7,7,2,10,55,Poor,Refurbish
275,SKU0275,6,7,4,9,64,Poor,Repair
276,SKU0276,2,7,2,10,79,Poor,Reuse
277,SKU0277,10,3,3,6,67,Excellent,Repair
278,SKU0278,5,7,4,7,62,Excellent,Refurbish
279,SKU0279,9,2,7,8,88,Poor,Reuse
280,SKU0280,9,8,10,9,83,Average,Repair
281,SKU0281,7,6,8,2,96,Good,Reuse
282,SKU0282,4,10,7,8,69,Excellent,Repair
283,SKU0283,2,1,6,8,70,Average,Refurbish
284,SKU0284,10,8,7,4,63,Good,Recycle
285,SKU0285,2,1,3,9,75,Average,Recycle
286,SKU0286,8,9,2,2,78,Good,Reuse
287,SKU0287,6,8,3,9,95,Average,Refurbish
288,SKU0288,5,8,3,3,80,Good,Repair
289,SKU0289,7,3,3,9,77,Excellent,Reuse
290,SKU0290,9,3,4,6,62,Poor,Recycle
291,SKU0291,3,4,6,2,70,Poor,Recycle
292,SKU0292,4,1,1,6,89,Good,Repair
293,SKU0293,5,6,3,2,90,Good,Reuse
294,SKU0294,8,6,6,3,98,Excellent,Reuse
295,SKU0295,1,2,6,2,95,Average,Reuse
296,SKU0296,1,5,9,6,88,Average,Recycle
297,SKU0297,9,10,7,9,82,Excellent,Repair
298,SKU0298,8,2,7,8,80,Excellent,Refurbish
299,SKU0299,6,6,2,2,63,Poor,Recycle
300,SKU0300,1,3,3,9,98,Excellent,Refurbish
301,SKU0301,1,4,6,7,59,Excellent,Repair
302,SKU0302,8,1,4,8,98,Good,Reuse
303,SKU0303,5,9,6,6,68,Good,Recycle
304,SKU0304,10,10,10,9,72,Average,Reuse
305,SKU0305,4,6,7,9,72,Good,Repair
306,SKU0306,5,8,3,2,87,Average,Refurbish
307,SKU0307,4,1,6,2,67,Poor,Repair
308,SKU0308,5,9,7,5,53,Poor,Reuse
309,SKU0309,9,4,9,5,84,Average,Reuse
310,SKU0310,4,1,3,3,61,Poor,Recycle
311,SKU0311,7,3,10,1,60,Good,Refurbish
312,SKU0312,4,10,5,7,50,Average,Reuse
313,SKU0313,4,6,2,7,66,Poor,Refurbish
314,SKU0314,6,1,10,8,63,Average,Repair
315,SKU0315,4,10,10,6,63,Excellent,Reuse
316,SKU0316,1,2,10,5,67,Good,Reuse
317,SKU0317,9,4,5,3,99,Poor,Refurbish
318,SKU0318,4,10,3,7,76,Good,Reuse
319,SKU0319,4,10,7,10,83,Good,Repair
320,SKU0320,3,1,1,10,94,Good,Repair
321,SKU0321,4,6,9,4,72,Average,Reuse
322,SKU0322,1,1,5,1,92,Excellent,Recycle
323,SKU0323,4,10,8,1,81,Good,Repair
324,SKU0324,4,6,2,5,51,Poor,Repair
325,SKU0325,8,3,8,10,70,Poor,Repair
326,SKU0326,5,1,3,5,54,Excellent,Reuse
327,SKU0327,6,3,2,10,78,Good,Recycle
328,SKU0328,7,1,4,9,96,Excellent,Repair
329,SKU0329,3,5,9,4,67,Good,Refurbish
330,SKU0330,6,10,6,9,80,Good,Reuse
331,SKU0331,9,5,4,5,54,Excellent,Refurbish
332,SKU0332,6,8,10,10,78,Excellent,Repair
333,SKU0333,8,2,1,4,50,Excellent,Repair
334,SKU0334,9,9,4,8,94,Poor,Refurbish
335,SKU0335,1,5,10,8,74,Excellent,Refurbish
336,SKU0336,9,2,7,6,56,Good,Recycle
337,SKU0337,5,9,9,1,67,Average,Recycle
338,SKU0338,1,3,7,4,98,Average,Recycle
339,SKU0339,4,9,2,3,82,Good,Refurbish
340,SKU0340,5,7,9,2,75,Excellent,Reuse
341,SKU0341,4,7,5,2,72,Poor,Reuse
342,SKU0342,3,8,4,3,53,Poor,Refurbish
343,SKU0343,1,6,5,1,54,Excellent,Repair
344,SKU0344,6,5,8,1,79,Excellent,Recycle
345,SKU0345,8,4,7,8,86,Poor,Reuse
346,SKU0346,8,7,6,7,66,Average,Repair
347,SKU0347,9,8,7,6,52,Average,Recycle
348,SKU0348,2,1,2,8,94,Poor,Reuse
349,SKU0349,6,1,8,7,93,Good,Refurbish
350,SKU0350,10,3,3,5,52,Excellent,Repair
351,SKU0351,10,5,10,7,85,Excellent,Repair
352,SKU0352,7,4,3,5,69,Poor,Reuse
353,SKU0353,3,9,9,4,65,Excellent,Repair
354,SKU0354,5,3,3,7,54,Average,Reuse
355,SKU0355,10,4,10,3,91,Good,Repair
356,SKU0356,4,7,4,10,61,Poor,Refurbish
357,SKU0357,7,1,4,8,70,Average,Reuse
358,SKU0358,3,2,4,8,79,Average,Reuse
359,SKU0359,8,1,2,3,91,Poor,Refurbish
360,SKU0360,2,4,8,3,88,Excellent,Reuse
361,SKU0361,7,1,8,3,98,Poor,Recycle
362,SKU0362,10,4,1,10,82,Poor,Reuse
363,SKU0363,2,6,1,7,63,Average,Repair
364,SKU0364,1,10,9,7,53,Average,Repair
365,SKU0365,2,8,9,6,75,Poor,Reuse
366,SKU0366,7,9,6,2,92,Good,Refurbish
367,SKU0367,10,2,6,10,79,Average,Recycle
368,SKU0368,1,8,7,3,85,Average,Recycle
369,SKU0369,1,3,8,5,92,Average,Reuse
370,SKU0370,10,10,6,6,84,Poor,Recycle
371,SKU0371,8,8,5,1,58,Excellent,Refurbish
372,SKU0372,4,3,8,4,78,Average,Repair
373,SKU0373,3,5,7,4,55,Excellent,Reuse
374,SKU0374,3,10,8,2,95,Poor,Reuse
375,SKU0375,1,8,7,7,50,Poor,Reuse
376,SKU0376,1,10,9,10,64,Good,Reuse
377,SKU0377,5,10,2,4,85,Average,Reuse
378,SKU0378,5,7,8,1,82,Excellent,Recycle
379,SKU0379,10,9,2,10,75,Average,Refurbish
380,SKU0380,7,6,9,10,97,Excellent,Repair
381,SKU0381,10,6,9,9,70,Excellent,Refurbish
382,SKU0382,3,10,4,3,75,Excellent,Reuse
383,SKU0383,1,1,1,9,75,Good,Reuse
384,SKU0384,7,8,1,3,50,Excellent,Recycle
385,SKU0385,3,2,8,1,97,Excellent,Refurbish
386,SKU0386,3,4,2,7,62,Poor,Recycle
387,SKU0387,6,3,2,3,72,Average,Reuse
388,SKU0388,2,5,9,4,69,Good,Reuse
389,SKU0389,7,5,8,7,64,Poor,Refurbish
390,SKU0390,4,5,4,3,69,Poor,Reuse
391,SKU0391,9,7,9,9,85,Excellent,Reuse
392,SKU0392,2,2,3,8,98,Excellent,Refurbish
393,SKU0393,3,2,7,8,51,Good,Refurbish
394,SKU0394,5,5,9,1,87,Poor,Reuse
395,SKU0395,5,1,10,10,79,Average,Recycle
396,SKU0396,9,9,5,7,90,Poor,Repair
397,SKU0397,1,8,3,8,71,Excellent,Refurbish
398,SKU0398,1,7,7,4,69,Good,Reuse
399,SKU0399,4,1,10,3,68,Excellent,Reuse
400,SKU0400,2,9,6,10,70,Good,Refurbish
401,SKU0401,10,4,3,3,53,Average,Recycle
402,SKU0402,3,2,3,10,87,Excellent,Recycle
403,SKU0403,6,4,3,4,78,Good,Refurbish
404,SKU0404,8,5,6,3,63,Good,Recycle
405,SKU0405,3,5,8,8,60,Excellent,Recycle
406,SKU0406,5,3,8,4,60,Good,Repair
407,SKU0407,7,4,6,7,76,Poor,Recycle
408,SKU0408,1,5,6,3,65,Good,Recycle
409,SKU0409,4,2,2,6,64,Average,Reuse
410,SKU0410,10,8,9,5,80,Poor,Refurbish
411,SKU0411,4,3,2,2,62,Good,Reuse
412,SKU0412,2,4,2,5,70,Poor,Recycle
413,SKU0413,2,8,5,9,87,Good,Refurbish
414,SKU0414,5,3,9,2,80,Good,Repair
415,SKU0415,1,2,7,10,58,Average,Refurbish
416,SKU0416,8,5,10,4,77,Poor,Recycle
417,SKU0417,10,1,7,1,66,Good,Refurbish
418,SKU0418,4,3,5,10,99,Excellent,Repair
419,SKU0419,8,7,5,10,54,Good,Refurbish
420,SKU0420,9,10,2,2,58,Average,Refurbish
421,SKU0421,1,8,8,2,79,Excellent,Reuse
422,SKU0422,1,4,3,8,51,Excellent,Recycle
423,SKU0423,5,5,9,9,56,Average,Refurbish
424,SKU0424,8,10,3,1,71,Good,Refurbish
425,SKU0425,4,6,3,7,87,Poor,Recycle
426,SKU0426,6,7,3,1,82,Excellent,Refurbish
427,SKU0427,4,2,8,3,51,Good,Refurbish
428,SKU0428,6,5,8,10,51,Poor,Refurbish
429,SKU0429,1,5,5,3,85,Poor,Refurbish
430,SKU0430,6,1,2,2,61,Excellent,Reuse
431,SKU0431,8,2,3,7,55,Good,Repair
432,SKU0432,6,6,6,4,50,Poor,Refurbish
433,SKU0433,1,7,9,3,73,Good,Reuse
434,SKU0434,7,8,5,1,75,Average,Repair
435,SKU0435,7,6,1,5,82,Poor,Reuse
436,SKU0436,1,1,6,9,67,Excellent,Refurbish
437,SKU0437,6,10,7,5,76,Poor,Reuse
438,SKU0438,7,3,5,8,90,Good,Recycle
439,SKU0439,1,3,9,7,67,Poor,Reuse
440,SKU0440,3,1,8,5,75,Average,Refurbish
441,SKU0441,2,1,3,10,97,Excellent,Recycle
442,SKU0442,1,10,3,1,94,Excellent,Refurbish
443,SKU0443,8,8,2,3,94,Excellent,Reuse
444,SKU0444,4,9,10,4,86,Good,Recycle
445,SKU0445,9,10,7,7,63,Average,Recycle
446,SKU0446,5,1,1,3,61,Excellent,Repair
447,SKU0447,10,7,8,1,62,Average,Recycle
448,SKU0448,10,7,3,8,67,Average,Refurbish
449,SKU0449,10,4,1,3,76,Average,Reuse
450,SKU0450,9,10,6,6,76,Average,Reuse
451,SKU0451,8,5,8,3,70,Excellent,Repair
452,SKU0452,3,2,2,3,57,Excellent,Repair
453,SKU0453,7,8,1,9,89,Poor,Recycle
454,SKU0454,3,9,8,10,98,Average,Recycle
455,SKU0455,10,4,2,8,53,Average,Refurbish
456,SKU0456,8,7,1,7,71,Good,Reuse
457,SKU0457,7,2,4,7,68,Good,Recycle
458,SKU0458,2,5,6,10,85,Poor,Recycle
459,SKU0459,9,10,7,3,85,Good,Refurbish
460,SKU0460,7,3,9,2,91,Excellent,Reuse
461,SKU0461,1,9,9,3,73,Average,Reuse
462,SKU0462,7,10,3,3,55,Poor,Repair
463,SKU0463,10,3,9,1,63,Poor,Refurbish
464,SKU0464,4,6,3,6,100,Poor,Refurbish
465,SKU0465,5,9,7,3,75,Poor,Repair
466,SKU0466,9,6,3,5,61,Good,Refurbish
467,SKU0467,2,4,4,1,88,Poor,Repair
468,SKU0468,2,4,6,5,85,Poor,Repair
469,SKU0469,9,10,10,2,77,Good,Refurbish
470,SKU0470,1,10,10,10,59,Excellent,Refurbish
471,SKU0471,10,6,2,7,100,Good,Recycle
472,SKU0472,2,9,3,10,93,Good,Reuse
473,SKU0473,7,2,8,10,77,Good,Recycle
474,SKU0474,1,9,10,10,66,Poor,Refurbish
475,SKU0475,1,7,8,5,90,Poor,Reuse
476,SKU0476,1,9,1,3,67,Poor,Refurbish
477,SKU0477,6,2,3,9,94,Excellent,Recycle
478,SKU0478,3,7,3,10,58,Excellent,Recycle
479,SKU0479,9,10,2,8,58,Good,Repair
480,SKU0480,3,6,8,6,54,Average,Repair
481,SKU0481,4,6,1,5,62,Good,Repair
482,SKU0482,4,2,8,9,60,Good,Repair
483,SKU0483,3,7,6,10,79,Poor,Reuse
484,SKU0484,9,7,4,3,97,Poor,Recycle
485,SKU0485,9,7,2,10,96,Poor,Refurbish
486,SKU0486,8,4,7,1,58,Poor,Recycle
487,SKU0487,4,10,7,2,98,Poor,Repair
488,SKU0488,1,10,6,10,100,Poor,Recycle
489,SKU0489,3,6,1,1,79,Average,Repair
490,SKU0490,3,8,6,1,89,Average,Refurbish
491,SKU0491,1,4,5,4,94,Average,Repair
492,SKU0492,7,9,3,6,90,Average,Recycle
493,SKU0493,5,6,10,7,56,Poor,Reuse
494,SKU0494,1,4,9,3,53,Excellent,Repair
495,SKU0495,8,4,6,4,87,Good,Reuse
496,SKU0496,7,5,3,4,89,Good,Reuse
497,SKU0497,4,4,7,1,90,Poor,Reuse
498,SKU0498,10,9,1,5,97,Good,Refurbish
499,SKU0499,8,8,6,3,98,Good,Reuse
500,SKU0500,7,3,3,7,73,Good,Repair
501,SKU0501,9,3,5,8,85,Poor,Repair
502,SKU0502,4,9,1,10,56,Average,Refurbish
503,SKU0503,6,2,5,3,65,Good,Refurbish
504,SKU0504,4,2,7,9,81,Good,Repair
505,SKU0505,7,1,9,6,59,Average,Recycle
506,SKU0506,3,5,10,4,65,Excellent,Reuse
507,SKU0507,2,10,1,6,72,Poor,Recycle
508,SKU0508,7,10,7,5,86,Good,Reuse
509,SKU0509,8,10,4,8,67,Good,Refurbish
510,SKU0510,5,1,3,3,56,Excellent,Repair
511,SKU0511,9,7,8,7,96,Average,Recycle
512,SKU0512,9,7,1,5,90,Excellent,Refurbish
513,SKU0513,7,3,2,7,58,Good,Recycle
514,SKU0514,3,2,8,8,56,Good,Recycle
515,SKU0515,5,4,8,9,80,Average,Repair
516,SKU0516,7,10,3,3,68,Good,Reuse
517,SKU0517,8,8,7,10,73,Poor,Refurbish
518,SKU0518,10,4,9,6,81,Poor,Recycle
